sleep_hours,screen_time,study_hours,breaks,noise_level,focus_score
7,8,2,4,High,9
8,6,1,5,Low,31
6,1,4,2,Medium,42
8,3,8,4,Medium,69
8,1,8,5,Medium,77
5,5,3,1,Low,15
6,2,4,2,High,30
6,8,8,4,Medium,34
6,6,4,0,Medium,12
8,2,2,1,Low,40
7,2,3,1,Medium,33
6,6,4,5,Low,33
9,3,1,1,High,21
8,8,1,2,Low,13
5,5,5,4,Low,36
7,1,3,4,Low,53
9,4,3,0,Low,46
9,1,5,5,High,65
5,4,4,0,High,6
7,1,3,1,Medium,36
8,6,1,0,High,6
4,5,1,2,High,0
7,8,8,4,Medium,38
5,4,2,1,High,4
9,8,3,0,Low,24
8,8,4,5,Low,39
7,8,5,2,Medium,25
4,7,5,2,Medium,7
4,3,4,0,Medium,16
6,1,7,4,Low,63
6,8,6,0,High,5
5,1,2,1,Low,36
7,8,5,0,Medium,16
7,4,3,2,High,24
9,3,2,0,High,21
9,3,3,4,Low,61
9,6,7,5,Medium,59
6,7,1,3,Low,20
7,6,2,0,High,5
7,6,8,4,Low,50
4,6,5,4,Low,24
6,6,2,5,Medium,19
8,6,2,2,Medium,18
6,5,2,4,High,18
8,3,6,4,Low,66
4,6,2,4,Low,12
5,8,3,4,Low,20
7,3,1,1,High,16
4,3,7,1,High,27
7,2,4,2,Medium,42
9,5,2,0,Medium,26
5,6,5,4,Medium,31
5,1,2,5,Low,42
4,4,5,0,Low,28
5,7,3,5,Medium,21
8,8,5,0,Low,24
5,1,8,2,Medium,53
7,5,4,4,High,27
7,4,1,4,Medium,33
7,5,5,3,High,29
7,8,5,5,Low,34
8,3,1,0,Medium,24
6,4,4,0,Low,34
9,3,2,1,High,27
4,8,5,3,High,5
7,1,1,1,High,23
5,8,8,1,Low,24
7,1,8,1,Low,61
5,4,3,5,Low,35
9,4,1,5,Low,51
9,6,3,2,High,24
9,5,8,2,High,52
5,6,4,1,Medium,14
7,5,2,3,Medium,24
9,6,1,0,Low,29
8,3,7,5,High,56
5,4,8,3,High,34
5,1,8,4,High,55
7,5,7,5,Medium,54
5,8,6,5,Medium,25
5,5,8,2,High,33
9,1,5,0,High,48
7,6,4,0,High,8
9,5,1,4,Medium,37
9,7,7,4,High,41
7,3,5,5,High,44
4,4,7,1,Low,39
9,1,1,2,Low,46
8,4,3,2,Medium,39
8,7,1,5,High,15
5,5,6,3,High,27
8,5,1,1,Low,23
5,8,1,5,Medium,5
4,7,6,1,Low,24
7,1,4,1,Low,45
7,8,8,1,Low,35
7,3,1,5,Low,41
8,8,6,2,High,21
4,2,5,2,High,20
8,1,3,1,Low,55
8,2,3,3,Medium,45
4,7,1,0,Medium,0
4,6,4,5,Medium,22
4,2,4,0,Medium,26
4,3,5,3,Low,35
7,8,1,5,High,2
6,6,3,1,Medium,19
6,8,4,2,Low,21
4,2,1,0,Medium,11
6,8,7,4,Medium,28
6,7,4,4,Low,30
4,6,6,3,High,10
6,7,7,1,High,19
8,2,8,0,Low,66
5,7,4,1,High,1
5,3,3,0,Low,25
4,2,2,3,Low,28
7,2,7,3,Low,66
4,2,8,4,High,36
7,1,5,1,Low,58
5,8,5,5,Medium,19
4,1,3,4,High,23
9,1,4,1,High,42
8,3,1,4,High,26
6,6,4,5,High,20
7,8,3,2,Medium,19
9,7,5,2,High,23
6,5,4,2,High,22
6,2,5,2,Low,53
4,7,7,0,High,1
6,2,8,2,Medium,56
8,3,1,5,Medium,44
9,2,7,3,Medium,63
6,1,5,3,Medium,47
4,8,5,0,High,0
8,5,2,2,High,22
5,4,2,2,Medium,18
